Дата;Год;Месяц;День недели №;День недели;Номер недели;День тип
31.07.2018;2018;7;2;Вторник;31;Рабочий
01.08.2018;2018;8;3;Среда;31;Рабочий
02.08.2018;2018;8;4;Четверг;31;Рабочий
03.08.2018;2018;8;5;Пятница;31;Пятница
04.08.2018;2018;8;6;Суббота;31;Выходной_С
05.08.2018;2018;8;7;Воскресенье;31;Выходной_В
06.08.2018;2018;8;1;Понедельник;32;Рабочий
07.08.2018;2018;8;2;Вторник;32;Рабочий
08.08.2018;2018;8;3;Среда;32;Рабочий
09.08.2018;2018;8;4;Четверг;32;Рабочий
10.08.2018;2018;8;5;Пятница;32;Пятница
11.08.2018;2018;8;6;Суббота;32;Выходной_С
12.08.2018;2018;8;7;Воскресенье;32;Выходной_В
13.08.2018;2018;8;1;Понедельник;33;Рабочий
14.08.2018;2018;8;2;Вторник;33;Рабочий
15.08.2018;2018;8;3;Среда;33;Рабочий
16.08.2018;2018;8;4;Четверг;33;Рабочий
17.08.2018;2018;8;5;Пятница;33;Пятница
18.08.2018;2018;8;6;Суббота;33;Выходной_С
19.08.2018;2018;8;7;Воскресенье;33;Выходной_В
20.08.2018;2018;8;1;Понедельник;34;Рабочий
21.08.2018;2018;8;2;Вторник;34;Рабочий
22.08.2018;2018;8;3;Среда;34;Рабочий
23.08.2018;2018;8;4;Четверг;34;Рабочий
24.08.2018;2018;8;5;Пятница;34;Пятница
25.08.2018;2018;8;6;Суббота;34;Выходной_С
26.08.2018;2018;8;7;Воскресенье;34;Выходной_В
27.08.2018;2018;8;1;Понедельник;35;Рабочий
28.08.2018;2018;8;2;Вторник;35;Рабочий
29.08.2018;2018;8;3;Среда;35;Рабочий
30.08.2018;2018;8;4;Четверг;35;Рабочий
31.08.2018;2018;8;5;Пятница;35;Пятница
01.09.2018;2018;9;6;Суббота;35;Выходной_С
02.09.2018;2018;9;7;Воскресенье;35;Выходной_В
03.09.2018;2018;9;1;Понедельник;36;Рабочий
04.09.2018;2018;9;2;Вторник;36;Рабочий
05.09.2018;2018;9;3;Среда;36;Рабочий
06.09.2018;2018;9;4;Четверг;36;Рабочий
07.09.2018;2018;9;5;Пятница;36;Пятница
08.09.2018;2018;9;6;Суббота;36;Выходной_С
09.09.2018;2018;9;7;Воскресенье;36;Выходной_В
10.09.2018;2018;9;1;Понедельник;37;Рабочий
11.09.2018;2018;9;2;Вторник;37;Рабочий
12.09.2018;2018;9;3;Среда;37;Рабочий
13.09.2018;2018;9;4;Четверг;37;Рабочий
14.09.2018;2018;9;5;Пятница;37;Пятница
15.09.2018;2018;9;6;Суббота;37;Выходной_С
16.09.2018;2018;9;7;Воскресенье;37;Выходной_В
17.09.2018;2018;9;1;Понедельник;38;Рабочий
18.09.2018;2018;9;2;Вторник;38;Рабочий
19.09.2018;2018;9;3;Среда;38;Рабочий
20.09.2018;2018;9;4;Четверг;38;Рабочий
21.09.2018;2018;9;5;Пятница;38;Пятница
22.09.2018;2018;9;6;Суббота;38;Выходной_С
23.09.2018;2018;9;7;Воскресенье;38;Выходной_В
24.09.2018;2018;9;1;Понедельник;39;Рабочий
25.09.2018;2018;9;2;Вторник;39;Рабочий
26.09.2018;2018;9;3;Среда;39;Рабочий
27.09.2018;2018;9;4;Четверг;39;Рабочий
28.09.2018;2018;9;5;Пятница;39;Пятница
29.09.2018;2018;9;6;Суббота;39;Выходной_С
30.09.2018;2018;9;7;Воскресенье;39;Выходной_В
01.10.2018;2018;10;1;Понедельник;40;Рабочий
02.10.2018;2018;10;2;Вторник;40;Рабочий
03.10.2018;2018;10;3;Среда;40;Рабочий
04.10.2018;2018;10;4;Четверг;40;Рабочий
05.10.2018;2018;10;5;Пятница;40;Пятница
06.10.2018;2018;10;6;Суббота;40;Выходной_С
07.10.2018;2018;10;7;Воскресенье;40;Выходной_В
08.10.2018;2018;10;1;Понедельник;41;Рабочий
